Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Caliza con nódulos de pedernal ,,Ornamental,Ing. Julio Eduardo Morales de la Garza,46,,image163.png
Caliza Fosilifera,"S-E de Cardonal, Hgo.",,,46,,image164.png
Caolín,,,,47,Filosilicatos,image165.png
Caolin ,"Comonfort, Guanajuato",Fabricacion de porcelana,,47,Filosilicatos,image166.png
Caolin ,Durango,Fabricacion de pocelana,,47,Filosilicatos,image167.png
Caolin ,"Corralitos Jimenez, Chihuahua",Fabricación de Porcelana,,47,Filosilicatos,image168.png
Caolina,"Corralitos Jimenez, Chihuahua",Fabricación de porcelana.,,47,Filosilicatos,image169.png
Carbon,,,,48,Carbonatos,image170.png
Carbon Bituminoso,La florida de Muzquiz,,,48,Carbonatos,image171.png
Carbon Mineral,"Barroteran, Coahuila",Fabricacion de Lapices,,48,Carbonatos,image172.png
Carbon Mineral,"Piedras Negras, Coahuila",,,48,Carbonatos,image173.png
Carbon Mineral,"Piedras Negras, Coahuila",,,48,Carbonatos,image174.png
Carbon Mineral,"Barroteran, Coahuila",Fabricación de lapices,,48,Carbonatos,image175.png
"Carnalita, Halita",Lomas Tencamicapan ,,,49,Haluros,image176.png
Carnotita,Meseta de colorado,,,50,,image177.png
Carnotita,Meseta de colorado,,,50,,image178.png
Casiteria,"Mase del mayar, Nayarit",,,51,,image179.png
Casiterita,San Luis Potosi,Extracción de estaño y pigmentos ceramicos,,51,,image180.png
Casiterita,,Obtención del estaño.,,51,,image181.png
Celestina,,,,52,,image182.png
Cervantita,"Wadley, San Luis Potosi",,,53,,image183.png
"Cervantita, Calcita",San Luis Potosi,"Obtención de productos metálicos, construcción de templos y edificaciones",,53,,image184.png
Cinabrio,"San Francisco del Rincon, Gto.",,,54,,image185.png
Cinabrio,"Mina la Poza, Qro. (Omar Hernandez).","Instrumental cientifico, aparatos eléctricos, ortodoncia",,54,,image186.png
